2018-11-02 14:31:10.6779| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 14:31:10.7138| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:31:10.7138| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:33:45.0926| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 15:33:45.0926| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 15:34:10.6796| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 15:34:10.6796| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 15:34:11.2868| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:34:11.2868| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:34:11.2868| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 15:34:11.2868| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 15:34:11.3077| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:34:11.3077| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:34:40.5586| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:34:40.5586| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:35:12.1568| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 15:35:12.1568| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
